epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3154,0.95684,2.96849,0.97345,0.00074,0.13043,0.00042,0.0002,0.81283,4.13288,1.00264,0.09216,0.00016,0.00016
2,42.5853,0.84357,1.51185,0.95681,0.00189,0.3913,0.21385,0.16712,0.79888,4.09582,0.87003,0.08334,0.000339999,0.000339999
3,64.4976,0.85592,1.25221,0.97063,0.875,0.2029,0.55188,0.46426,0.71557,4.16345,0.84887,0.07452,0.000519995,0.000519995
4,87.2775,0.8425,1.10232,0.95429,0.41667,0.07246,0.23993,0.14915,0.74746,4.38714,0.89062,0.0657,0.000699985,0.000699985
5,622.457,0.86083,0.95776,1.0024,0.41667,0.07246,0.23993,0.15441,0.74741,4.38719,0.89071,0.05688,0.000879966,0.000879966
6,668.295,0.79529,1.01169,0.95664,0.41667,0.07246,0.23993,0.15441,0.74741,4.38719,0.89071,0.0480599,0.00105994,0.00105994
7,695.521,0.91325,1.16083,1.08169,5e-05,0.01449,3e-05,1e-05,4.44526,1.12325e+06,236.855,0.0392399,0.00123989,0.00123989
8,742.663,0.89967,0.90163,1.03618,0.0001,0.02899,8e-05,1e-05,4.26794,1.11804e+06,353.204,0.0304198,0.00141983,0.00141983
9,788.709,0.85365,0.97182,1.09652,0.0001,0.02899,8e-05,1e-05,4.26794,1.11804e+06,353.204,0.0215997,0.00159975,0.00159975
