epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,901.248,0.50206,0.49306,0.87619,1,0.9998,0.995,0.90829,0.47521,0.43362,0.82864,0.00099549,0.00099549,0.00099549
45,921.373,0.48427,0.48912,0.86998,0.9997,1,0.995,0.91268,0.46696,0.42934,0.82993,0.000995278,0.000995278,0.000995278
46,941.671,0.50953,0.52408,0.85523,0.99954,1,0.995,0.91735,0.45049,0.45109,0.82672,0.000995062,0.000995062,0.000995062
47,962.155,0.52612,0.48863,0.86045,0.99936,1,0.995,0.91468,0.45481,0.48486,0.8245,0.00099484,0.00099484,0.00099484
48,984.554,0.52355,0.49535,0.86537,0.99919,1,0.995,0.91546,0.45142,0.49266,0.82468,0.000994614,0.000994614,0.000994614
49,1005.05,0.52958,0.49399,0.89577,0.99905,1,0.995,0.90917,0.46561,0.49642,0.82642,0.000994383,0.000994383,0.000994383
50,1025.46,0.47387,0.48798,0.8183,0.99884,1,0.995,0.89095,0.47447,0.51084,0.82776,0.000994147,0.000994147,0.000994147
51,1046.33,0.47942,0.49461,0.80308,0.9989,1,0.995,0.90381,0.45193,0.48085,0.82631,0.000993906,0.000993906,0.000993906
52,1066.84,0.52226,0.5024,0.91875,0.99924,1,0.995,0.90181,0.44122,0.45136,0.82285,0.00099366,0.00099366,0.00099366
53,1087.44,0.4772,0.45091,0.84009,0.99935,1,0.995,0.90173,0.42415,0.44108,0.81872,0.00099341,0.00099341,0.00099341
54,1107.93,0.49306,0.50632,0.88097,0.99915,1,0.995,0.91452,0.42976,0.42487,0.81802,0.000993154,0.000993154,0.000993154
55,1128.74,0.50665,0.47796,0.86826,0.99904,1,0.995,0.91549,0.43095,0.42998,0.81745,0.000992894,0.000992894,0.000992894
56,1149.4,0.47803,0.48821,0.88582,0.99901,1,0.995,0.91686,0.42143,0.43314,0.8158,0.000992629,0.000992629,0.000992629
57,1169.67,0.54155,0.45471,0.89041,0.99897,1,0.995,0.91023,0.41782,0.44112,0.81427,0.000992359,0.000992359,0.000992359
58,1190.1,0.48904,0.45877,0.85387,0.99897,1,0.995,0.91564,0.41946,0.4318,0.81496,0.000992085,0.000992085,0.000992085
59,1210.52,0.54072,0.5056,0.89743,0.99739,1,0.995,0.91228,0.4337,0.40838,0.819,0.000991805,0.000991805,0.000991805
60,1230.97,0.46964,0.44788,0.85064,0.99518,1,0.995,0.92339,0.43135,0.39725,0.82067,0.000991521,0.000991521,0.000991521
