epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75681,0.69599,3.37881,0.94147,0.00289,0.89041,0.07871,0.04934,0.79206,3.34048,1.05583,0.09118,0.00018,0.00018
2,5.18141,0.7441,1.46716,0.91436,0.00311,0.9589,0.79213,0.61422,0.79322,3.12443,1.02932,0.08138,0.00038,0.00038
3,7.42491,0.87359,1.90447,1.04199,0.00512,0.9863,0.60751,0.4651,0.90807,3.28467,1.12075,0.07158,0.00058,0.00058
4,9.41776,0.88973,1.32943,0.97474,0.01967,0.9726,0.8615,0.70071,0.75598,3.00809,0.93476,0.06178,0.00078,0.00078
5,11.3086,0.73667,1.49271,1.04436,0.93439,0.39026,0.82386,0.63285,0.81463,2.72626,0.96495,0.05198,0.00098,0.00098
6,12.9787,0.86429,1.13154,0.92761,1,0.69547,0.92746,0.73595,0.77167,1.71625,0.96586,0.04218,0.00118,0.00118
7,14.7933,0.77112,1.01965,1.03368,1,0.77198,0.95876,0.7734,0.73891,1.40942,0.93479,0.03238,0.00138,0.00138
8,16.5396,0.78677,0.91812,0.93946,0.80841,0.92488,0.83378,0.67799,0.72204,1.04884,0.99447,0.02258,0.00158,0.00158
9,18.1998,0.81789,0.98571,0.97311,0.50461,0.73953,0.48168,0.39035,0.68442,2.08975,1.01713,0.01278,0.00178,0.00178
10,19.8228,0.8565,0.99164,0.92587,0.88317,0.72487,0.82796,0.66296,0.74347,1.55484,0.96448,0.00298,0.00198,0.00198
11,21.4578,0.83437,1.00798,0.9763,0.97232,0.94521,0.96315,0.79156,0.75462,0.92571,0.99677,0.002,0.002,0.002
12,23.0877,0.769,0.83783,0.91602,0.98962,0.93151,0.95927,0.8063,0.71828,0.78578,0.9707,0.00199999,0.00199999,0.00199999
13,24.7459,0.79373,0.98557,0.99434,0.84167,0.91781,0.92203,0.73392,0.71562,0.93611,1.02017,0.00199999,0.00199999,0.00199999
14,26.4133,0.78675,0.90186,1.01073,0.91364,0.91781,0.96395,0.78122,0.69163,0.8173,0.95578,0.00199999,0.00199999,0.00199999
15,27.9945,0.7876,0.80241,0.97073,0.96987,0.88195,0.96437,0.80048,0.65585,0.76702,0.92716,0.00199999,0.00199999,0.00199999
16,29.761,0.72663,0.7324,0.94164,0.96601,0.87671,0.94983,0.80974,0.62723,0.80464,0.91981,0.00199999,0.00199999,0.00199999
17,31.3974,0.69716,0.76309,0.99982,1,0.88836,0.9607,0.81559,0.63939,0.80913,0.90886,0.00199999,0.00199999,0.00199999
18,33.4466,0.66326,0.79749,0.95453,0.7982,0.92113,0.8517,0.71485,0.5797,1.42663,0.92271,0.00199999,0.00199999,0.00199999
19,35.2987,0.69964,0.71715,0.92381,0.86664,0.97926,0.9267,0.77861,0.56375,1.59863,0.88905,0.00199998,0.00199998,0.00199998
20,37.0429,0.74733,0.69287,0.94846,0.95639,0.9726,0.99227,0.84993,0.55168,1.34291,0.864,0.00199998,0.00199998,0.00199998
21,38.8143,0.7468,0.69215,0.94559,0.83883,0.9726,0.94901,0.80434,0.5903,1.52945,0.87624,0.00199998,0.00199998,0.00199998
22,40.3877,0.67883,0.67969,0.91123,0.71842,0.93151,0.74161,0.61629,0.62432,1.50656,0.89681,0.00199998,0.00199998,0.00199998
23,42.0126,0.70544,0.70643,0.91529,0.82385,0.9726,0.85709,0.73006,0.57966,1.39153,0.87907,0.00199998,0.00199998,0.00199998
24,43.7202,0.70588,0.6829,0.97043,0.84104,0.9726,0.90597,0.77411,0.61052,1.67249,0.89745,0.00199997,0.00199997,0.00199997
25,45.3718,0.71851,0.68407,1.0099,0.8754,0.9863,0.94217,0.78624,0.59678,1.24171,0.88252,0.00199997,0.00199997,0.00199997
26,46.9817,0.66392,0.64094,0.90618,0.92142,0.96377,0.9629,0.81414,0.56231,0.92048,0.8715,0.00199997,0.00199997,0.00199997
27,48.639,0.67217,0.61271,0.87909,0.92228,0.9589,0.97873,0.84334,0.56652,0.75526,0.87808,0.00199997,0.00199997,0.00199997
28,50.2835,0.62107,0.59964,0.90394,0.98637,0.99163,0.99486,0.88378,0.53013,0.56868,0.86215,0.00199996,0.00199996,0.00199996
29,51.8646,0.63189,0.62453,0.94825,0.98943,0.9863,0.99486,0.87723,0.5259,0.5274,0.85476,0.00199996,0.00199996,0.00199996
30,53.483,0.58526,0.55623,0.92128,0.94278,0.9589,0.98168,0.86887,0.52882,0.68344,0.86124,0.00199996,0.00199996,0.00199996
31,55.4769,0.5802,0.53959,0.90113,0.91984,0.9726,0.98342,0.86477,0.5379,0.72366,0.86941,0.00199996,0.00199996,0.00199996
32,57.0311,0.63536,0.61259,0.957,0.91249,0.99984,0.98497,0.87455,0.50875,0.61105,0.86556,0.00199995,0.00199995,0.00199995
33,58.6919,0.65706,0.58388,0.93796,0.93352,0.9589,0.97421,0.85055,0.53993,0.5935,0.87051,0.00199995,0.00199995,0.00199995
34,60.4636,0.63608,0.61185,0.95548,0.83307,0.87671,0.94788,0.82811,0.51352,0.71945,0.85429,0.00199995,0.00199995,0.00199995
35,62.0568,0.64032,0.57501,0.93988,0.73184,0.89727,0.86621,0.74567,0.52174,1.16933,0.85873,0.00199994,0.00199994,0.00199994
36,63.8713,0.61617,0.61858,0.95347,0.67755,0.94989,0.78066,0.66795,0.52183,1.58798,0.86519,0.00199994,0.00199994,0.00199994
37,65.6387,0.63343,0.60284,0.97068,0.75055,0.94799,0.81505,0.69874,0.53033,1.14266,0.86604,0.00199994,0.00199994,0.00199994
38,67.3782,0.67065,0.59944,0.92851,0.827,0.91681,0.82072,0.70433,0.51391,0.87507,0.85647,0.00199993,0.00199993,0.00199993
39,69.1669,0.61531,0.58588,0.92058,0.83776,0.9726,0.86434,0.76555,0.49591,0.6919,0.85441,0.00199993,0.00199993,0.00199993
40,70.7749,0.59097,0.54417,0.89637,0.80754,0.9726,0.85781,0.73896,0.52426,0.7619,0.86419,0.00199993,0.00199993,0.00199993
41,72.3921,0.64717,0.54901,0.90925,0.82684,0.98123,0.86065,0.74242,0.54482,0.70505,0.87269,0.00199992,0.00199992,0.00199992
42,74.0181,0.65433,0.54746,0.9257,0.8195,1,0.83741,0.73755,0.51711,0.6141,0.8602,0.00199992,0.00199992,0.00199992
43,75.6967,0.57942,0.52589,0.88944,0.88396,0.9863,0.92685,0.8133,0.48624,0.50311,0.8518,0.00199991,0.00199991,0.00199991
44,77.465,0.65392,0.61636,0.94541,0.97498,0.9589,0.99244,0.87503,0.47476,0.45156,0.84963,0.00199991,0.00199991,0.00199991
45,79.2368,0.62066,0.57448,0.9544,0.9725,0.96899,0.99064,0.86431,0.49582,0.51165,0.85335,0.00199991,0.00199991,0.00199991
46,80.9459,0.58293,0.55858,0.94438,0.9102,0.97194,0.93694,0.80635,0.52394,0.64357,0.86291,0.0019999,0.0019999,0.0019999
47,82.7,0.58694,0.52061,0.90346,0.84455,0.94521,0.89582,0.80186,0.49297,0.75399,0.85018,0.0019999,0.0019999,0.0019999
